Company,Stock_Code,Date,Current_Asset,Current_Liability,Inventory,Total_Liability,Total_Assets,EBIT,Interest_Expense,Accounts_Receivable,Accounts_Payable,Sales_revenue,Cost_of_Sales,Net_Profit,NOI,Net_Cash_Flows_from_Operating_Activities,Capital_Eexpenditure,,ROE,,,,,Current Ratio,Quick Ratio,Debt to Assets Ratio,Interest Coverage Ratio,Inventory Turnover Ratio,Accounts Receivable Turnover Ratio,Gross Profit Margin,Net Profit Margin,Capitalization Rate,Operating Cash Flow to Profit Ratio
HengDa,3333,2022_Half_Year,1713921,2419613,745,2474087,1915903,-80968,5141.74,32834.32,926463,89281,82169,-86169,-39364,4295,1666.31,,0.157,,,,,0.708345095,0.708037194,1.291342516,-15.74719842,110.2939597,2.719136562,0.079658606,-0.96514376,-0.020545925,-0.049843911
HengDa,3333,2021_Year,1893821,2521136,203,2580150,2107096,-698895,7084.3,2063.65,1056574,250013,268461,-686219,-581529,-51601,4638.66,,0.2066,,,,,0.751177644,0.751097124,1.224505196,-98.65406603,1322.46798,121.1508735,-0.073788163,-2.744733274,-0.275986002,0.075196111
HengDa,3333,2021_Half_Year,1952593,1572759,357,1966534,2377575,17914,918.29,6481.71,1002264,222690,193855,10499,25690,-14831,1816.97,,0.1872,,,,,1.241508076,1.241281086,0.827117546,19.50799856,543.0112045,34.3566744,0.129484934,0.047146257,0.010805127,-1.412610725
HengDa,3333,2020_Year,1637799,1221511,358,1950728,2301159,68245,1874.82,21669.9,926463,507248,384643,31400,69712,110063,2799.38,,0.2043,,,,,1.340797586,1.340504506,0.847715434,36.40082781,1074.421788,23.40795297,0.241706227,0.061902659,0.0302943,3.505191083
HengDa,3333,2020_Half_Year,1928043,1476641,473,1982642,2299097,36825,1070.8,7169.28,1056574,266631,199949,14761,47379,3613,851.64,,0.1677,,,,,1.305695155,1.305374834,0.86235683,34.39017557,422.7251586,37.19076393,0.25009095,0.055361155,0.020607656,0.244766615
DaYueCheng,31,2023_Third_Quarter,152720.365,93048.39942,98908.66764,160513.2139,208198.0072,1031.90574,2164.58801,376.41411,12923.83,28748.33396,922.44751,-74.94145,880.71,1261.4,367.76,,-0.0012,,,,,1.641300291,0.578319431,0.770964219,0.476721546,0.009326256,76.37421904,0.96791301,-0.00260681,0.004230156,-16.83180747
DaYueCheng,31,2023_Half_Year,149010.0443,91840.20848,95081.10987,158622.6333,205969.2805,1343.87402,1454.1348,384.19434,14782.39,21167.66948,611.35524,540.47177,1149.98,3370.03,365.85,,0.0116,,,,,1.622492443,0.587203963,0.770127627,0.924174303,0.006429829,55.09625531,0.971118444,0.025532889,0.00558326,6.235348844
DaYueCheng,31,2023_First_Quarter,149220.1833,91959.63908,94804.64004,91959.63908,206133.5491,877.06067,701.74278,381.29395,13030.16,11183.19569,254.13761,612.3929,1048.38,2748.3,404.86,,0.013,,,,,1.622670389,0.591732893,0.446116799,1.249832123,0.002680645,29.3295912,0.977275045,0.054760099,0.005085926,4.487805133
DaYueCheng,31,2022_Year,157707.4749,103617.7461,95704.89932,166927.9499,214432.2678,-431.46256,2622.72175,317.41595,15690.18,39578.6918,1554.51596,-2222.64544,5012.09,2710.45,1571.07,,-0.0454,,,,,1.522012211,0.59837796,0.778464695,-0.164509466,0.016242804,124.690305,0.960723412,-0.056157628,0.023373768,-1.219470257
DaYueCheng,31,2022_Third_Quarter,158552.8852,105145.5127,103524.2261,163733.084,215103.6264,2428.05002,1871.88704,561.29919,17217.81,24857.97865,1001.84079,1137.55874,781.2,2943.97,374.6,,0.0225,,,,,1.507937725,0.52335718,0.761182351,1.297113536,0.009677356,44.28650361,0.959697415,0.045762319,0.003631738,2.587971853
DaYueCheng,31,2022_Half_Year,161832.3161,166117.076,107139.214,166117.076,218030.2982,2084.46715,1203.42739,471.31076,18098.3,15001.30236,593.15476,1058.09115,998.68,-23.9,215.87,,0.0206,,,,,0.974206385,0.32924431,0.761899045,1.73210878,0.005536299,31.82889824,0.960459782,0.070533286,0.004580464,-0.022587846
DaYueCheng,31,2022_First_Quarter,155300.6301,95720.38127,100571.7174,157378.8998,210493.9993,1487.09085,594.61809,380.71192,12652.03,8181.05959,262.90468,791.50206,2005.23,-336.31,536.21,,0.015,,,,,1.622440571,0.571758197,0.747664543,2.500917599,0.002614102,21.48884523,0.967864226,0.096748111,0.009526305,-0.42490098
DaYueCheng,31,2021_Year,157562.4061,103302.5362,102003.378,160635.9267,212727.1045,2920.68157,2175.67677,301.47716,12652.03,42614.49736,1420.91617,767.42405,7095,-8464.13,2885.1,,0.0155,,,,,1.525252059,0.537828306,0.755126748,1.342424395,0.013930089,141.3523233,0.966656508,0.018008521,0.03335259,-11.02927384
DaYueCheng,31,2021_Third_Quarter,169920.0115,108248.2048,109355.6184,172396.2811,224098.6809,3101.22979,1507.70058,371.81189,12652.03,22128.78313,730.58631,1840.35247,1571.19,-731.43,310.72,,0.0138,,,,,1.569725906,0.559495588,0.769287353,2.056926841,0.00668083,59.51607245,0.966984795,0.083165552,0.007011152,-0.39744017
DaYueCheng,31,2021_Half_Year,161082.6397,105639.249,101864.4147,164433.6146,213921.8883,1931.08838,966.64339,434.59036,12652.03,14248.38189,430.59405,1161.48214,1266.04,-6010.92,1446.59,,0.0153,,,,,1.524837039,0.560570295,0.768661945,1.997725744,0.004227129,32.78577561,0.969779442,0.081516775,0.005918235,-5.175215202
DaYueCheng,31,2021_First_Quarter,153564.167,97345.56725,90097.4845,158432.3042,204596.9596,894.07953,486.9938,381.69666,12652.03,6891.12525,202.90802,489.83764,1282,-1782,270,,0.0154,,,,,1.577515766,0.651973011,0.774362945,1.835915639,0.002252094,18.05393113,0.970555168,0.071082388,0.006265978,-3.637940106
DaYueCheng,31,2020_Year,149264.0473,97963.66732,87457.16057,154225.1228,199871.388,3124.81251,2370.87448,319.11055,12652.03,38445.28426,1093.31333,1122.70386,6475.61,9814.11,1622.37,,0.0184,,,,,1.523667411,0.630916425,0.771621813,1.317999978,0.01250113,120.4763793,0.971561835,0.029202642,0.032398884,8.74149487
DaYueCheng,31,2020_Third_Quarter,148973.9063,87241.0923,85064.26569,154165.6671,198066.4027,897.39023,599.58922,523.96476,12652.03,5617.25333,290.85454,503.65067,1230,6198,220,,0.0224,,,,,1.707611659,0.732563508,0.778353446,1.496675066,0.003419233,10.72067008,0.948221218,0.089661377,0.006210039,12.30614865
DaYueCheng,31,2020_Half_Year,148254.3762,65032.40774,81395.14344,154899.6128,197250.3771,1922.24051,1922.24051,529.75652,12652.03,12186.84054,1261.45095,964.46751,1804,2717,397,,0.0156,,,,,2.279699943,1.028090995,0.785294381,1,0.015497865,23.00460698,0.896490731,0.079140078,0.009145737,2.817098531
DaYueCheng,31,2020_First_Quarter,142023.06,83269.38798,75057.10158,149427.8446,192228.9316,919.87101,664.65204,427.27863,12652.03,5458.73776,134.47191,461.81684,1422,-2538,310,,0.0188,,,,,1.705585491,0.804208606,0.777343157,1.383988851,0.001791595,12.77559269,0.97536575,0.084601397,0.00739743,-5.495685254
NanDuWuYe,603506,2023_Third_Quarter,1817.34644,1322.23938,16.31344,1385.42527,2496.0099,157.17756,4.49774,684.08792,322.96,1304.09474,17.34977,122.39937,25.55,-35.53848,1.27,,0.1113,,,,,1.374445863,1.362108128,0.555056,34.94590383,1.063526084,1.906326218,0.98669593,0.093857726,0.010236338,-0.290348522
NanDuWuYe,603506,2023_Half_Year,1823.13279,1339.05979,14.45404,1407.19847,2493.62004,128.06102,2.11984,641.1928,324.11,930.77014,11.87474,98.0763,54.74,-35.53848,1.67,,0.0909,,,,,1.361502157,1.35070799,0.564319523,60.4107111,0.821552218,1.451622887,0.987242022,0.10537113,0.021952021,-0.362355378
NanDuWuYe,603506,2023_First_Quarter,1650.45279,1158.3671,14.20268,1229.28802,2323.5485,54.61903,1.0428,617.34087,326.6,459.65931,6.9192,42.78573,64.98,-32.55405,0.76,,0.0397,,,,,1.424809797,1.412548849,0.529056323,52.37719775,0.487175777,0.744579431,0.984947111,0.093081394,0.027965846,-0.760862345
NanDuWuYe,603506,2022_Year,1719.72716,1169.01012,13.95518,1242.38124,2293.85598,197.51886,6.27432,533.63932,377.95,1846.72969,31.73925,154.98993,205.72,156.0887,13.51,,0.1485,,,,,1.471096907,1.459159307,0.541612573,31.48050817,2.274371479,3.46063272,0.982813265,0.083926702,0.08968305,1.007089313
NanDuWuYe,603506,2022_Third_Quarter,1789.44008,1141.74672,13.95513,1277.36631,2330.18401,193.64043,5.08315,659.38184,329.77,1377.57295,17.85918,149.51238,55.4,36.69105,3.4,,0.1421,,,,,1.567282881,1.555060265,0.54818259,38.09454079,1.27975741,2.089188486,0.987035763,0.108533185,0.023774946,0.245404739
NanDuWuYe,603506,2022_Half_Year,1814.50574,1228.36992,13.62788,1370.72004,2367.12316,132.48202,3.26122,606.61682,305.66,896.81717,11.06208,95.0978,74.16,73.26641,1.03,,0.0961,,,,,1.477165554,1.466071273,0.579065788,40.62343834,0.811724291,1.478391521,0.987665176,0.106039225,0.031329168,0.770432243
NanDuWuYe,603506,2022_First_Quarter,1653.57469,1041.81924,14.15131,1209.63091,2215.3306,53.4638,2.11594,539.70052,276.45,414.67031,5.21217,39.5293,61.2,-43.12208,4.89,,0.0394,,,,,1.587199225,1.57361596,0.546027265,25.2671354,0.368316868,0.76833409,0.98743058,0.095327057,0.027625674,-1.090888931
NanDuWuYe,603506,2021_Year,1683.35308,994.82472,11.87566,1152.46941,1430.01761,233.36803,4.77705,409.5307,276.45,1592.9171,32.69475,169.53449,226.77,191.02834,10.67,,0.1493,,,,,1.692110224,1.68017278,0.80591274,48.8518876,2.753088056,3.889615886,0.979474921,0.106430205,0.158578467,1.126781554
NanDuWuYe,603506,2021_Third_Quarter,1416.65105,1024.72846,11.93996,1174.23163,2108.08433,185.73442,0.56933,518.5747,276.45,1170.25394,16.1243,140.69418,60.18,21.84444,1.25,,0.1431,,,,,1.382464815,1.370812986,0.557013592,326.2308911,1.350448544,2.256673812,0.986221536,0.120225346,0.028547245,0.155261828
NanDuWuYe,603506,2021_Half_Year,1375.85113,1032.52646,11.79208,1196.25697,2084.17303,128.25364,0.02274,470.89581,276.45,764.15986,7.78613,89.40688,71.62,47.51712,4.37,,0.0957,,,,,1.332509322,1.32108871,0.573972002,5639.624958,0.660284798,1.622779071,0.989810858,0.117000227,0.03436375,0.531470546
NanDuWuYe,603506,2021_First_Quarter,1272.88674,934.48548,10.45769,1095.05993,1970.12265,48.11357,5.82,410.27752,276.45,374.3991,5.1793,35.22037,53,-38.70022,4,,0.0392,,,,,1.362125765,1.350934917,0.555833376,8.266936634,0.495262613,0.912550835,0.986166365,0.094071718,0.026901878,-1.098802452
NanDuWuYe,603506,2020_Year,1219.22083,915.07393,10.82307,916.07119,1755.91355,195.06068,2.52,336.74419,276.45,1413.47456,29.11798,145.31129,184.63,124.67068,22.97,,0.1488,,,,,1.332374133,1.320546594,0.521706317,77.40503238,2.690361555,4.197472781,0.979399715,0.102804323,0.105147545,0.857955848
NanDuWuYe,603506,2020_Third_Quarter,1170.80724,899.54271,10.08358,901.02973,1706.33357,152.94799,2.52,428.54536,276.45,1017.26065,15.51315,111.04207,55,-21.73575,15,,0.1442,,,,,1.301558261,1.290348585,0.528050168,60.69364698,1.538455938,2.373752574,0.984750076,0.109157936,0.032232853,-0.195743359
NanDuWuYe,603506,2020_Half_Year,1208.99276,968.10134,10.35453,969.1926,1740.84799,98.8503,2.52,405.46501,276.45,659.97221,5.87676,72.16695,52,9.28491,4,,0.0913,,,,,1.248828726,1.238133017,0.556735919,39.22630835,0.567554767,1.627692123,0.991095439,0.109348471,0.0298705,0.128658752
NanDuWuYe,603506,2020_First_Quarter,1300.76948,909.63153,13.03507,910.46082,1676.15975,43.91107,2.52,374.31977,276.45,332.69676,3.86162,32.08582,44,-8.47454,3,,0.0389,,,,,1.429996036,1.415665977,0.543182605,17.42502771,0.296248768,0.888803606,0.988392961,0.096441639,0.026250481,-0.264120931
JiangSuZhongNan,961,2023_Third_Quarter,226464.0259,230679.1429,134118.7592,256158.2146,280576.0325,-277.82477,475.4879,8312.28091,406.61,16352.43381,1051.83727,-877.90624,-348.95,267.36045,133.15,,-0.0342,,,,,0.98172736,0.400319099,0.912972545,-0.584294099,0.007842581,1.967261934,0.93567702,-0.05368658,-0.001243691,-0.304543285
JiangSuZhongNan,961,2023_Half_Year,233330.5996,237227.9523,139761.499,237227.9523,288537.0883,12.7088,231.31,5692.17824,414.92,11953.71277,808.86741,-518.34945,313,571.39687,36.95,,-0.0177,,,,,0.983571275,0.394426962,0.822174902,0.054942729,0.005787484,2.100024326,0.932333374,-0.043363051,0.001084783,-1.102339113
JiangSuZhongNan,961,2023_First_Quarter,241388.4802,243865.6716,149859.9293,270933.0114,297922.0722,-436.30419,245.35,6793.93857,414.05,7149.74093,230.3002,-639.22656,-46.51,358.13948,392.89,,-0.0223,,,,,0.989841984,0.375323637,0.909408992,-1.77829302,0.00153677,1.052370559,0.967789015,-0.089405556,-0.000156115,-0.56027002
JiangSuZhongNan,961,2022_Year,245765.4384,248784.0432,150807.9909,275469.3307,306722.296,-9271.57112,2042.85967,5939.22439,431.18,59036.30808,1815.61089,-9629.89054,-4956.74,6253.3163,2093.92,,-0.2932,,,,,0.987866566,0.381686246,0.89810664,-4.538525697,0.012039222,9.940070328,0.96924586,-0.163118102,-0.016160351,-0.649365253
JiangSuZhongNan,961,2022_Third_Quarter,273447.7598,264841.7116,173521.4949,296860.9006,337286.5489,-1755.53625,595.31059,4878.6424,426.26,34350.69713,853.62689,-1951.2684,-830.13,4583.35921,2.37,,-0.0443,,,,,1.032495063,0.377305615,0.880144499,-2.948941751,0.00491943,7.041036075,0.975149649,-0.056804332,-0.002461201,-2.348912742
JiangSuZhongNan,961,2022_Half_Year,277821.2818,267642.8317,179136.4403,301415.2828,342319.3281,-1250.00076,509.29,4770.65556,426.47,24134.5654,812.0527,-1409.80397,418.19,4808.97103,115.79,,-0.0326,,,,,1.038029975,0.368718418,0.880509098,-2.454398799,0.004533152,5.058962045,0.966353125,-0.05841431,0.001221637,-3.41109198
JiangSuZhongNan,961,2022_First_Quarter,301237.4402,285933.9309,188604.7516,326830.5874,368991.7688,-448.65873,155.44,3398.96002,409.23,7749.26643,352.16126,-645.7379,-458.2,3661.84537,101.13,,-0.0146,,,,,1.053521138,0.393911587,0.885739507,-2.886378846,0.001867192,2.279893374,0.954555536,-0.083328907,-0.001241762,-5.670792081
JiangSuZhongNan,961,2021_Year,300666.6451,283825.3647,190134.3029,325182.1873,367976.5218,-2774.98312,1182.50593,6801.78083,409.23,79210.50594,2304.03044,-3305.64924,-29.02,16771.98047,3927.25,,-0.2865,,,,,1.05933677,0.389437858,0.883703628,-2.346697006,0.01211791,11.645554,0.970912565,-0.04173246,-7.89E-05,-5.07373265
JiangSuZhongNan,961,2021_Third_Quarter,286043.7227,248990.8146,177662.0934,298519.3369,350939.6957,4110.46815,518.2791,5974.23204,409.23,61084.12904,1488.54933,3128.48053,1100.2,1392.37587,513.3,,-0.0384,,,,,1.148812349,0.435283644,0.850628585,7.930993483,0.008378542,10.22459935,0.975631161,0.051215931,0.003135012,0.44506458
JiangSuZhongNan,961,2021_Half_Year,308001.1693,262549.1401,198191.4973,320732.2553,372985.1218,2653.10826,654.98402,5384.63679,409.23,38481.5082,963.2909,2028.49333,1040.5,2411.56544,1482.55,,-0.0156,,,,,1.17311818,0.418244265,0.859906298,4.050645774,0.004860405,7.1465374,0.974967434,0.052713457,0.002789656,1.188845636
JiangSuZhongNan,961,2021_First_Quarter,297045.1858,249007.7384,187913.5374,309716.7736,360237.6701,1225.944,301,6389.98697,409.23,14349.33366,256.5211,917.44629,1668,1853.67845,608,,-0.0193,,,,,1.19291548,0.438266092,0.859756764,4.07290364,0.001365102,2.245596699,0.982123135,0.063936508,0.004630276,2.020476258
JiangSuZhongNan,961,2020_Year,299822.4717,253200.647,184374.9112,310890.2868,359253.4527,10516.74404,706.11245,7110.26221,409.23,78600.84831,1730.21968,7804.06614,7168.08,8467.44884,5195.89,,-0.2884,,,,,1.184129959,0.455952865,0.865378702,14.89386572,0.009384247,11.05456395,0.977987265,0.099287302,0.01995271,1.08500475
JiangSuZhongNan,961,2020_Third_Quarter,294617.6239,247274.793,179842.2583,303204.2505,340613.6186,2045.36719,719,12097.92368,409.23,16163.61428,489.74899,1692.88287,1729,714.06554,792,,-0.0356,,,,,1.191458379,0.464161204,0.890170662,2.84473879,0.002723214,1.336065155,0.969700527,0.104734179,0.005076133,0.42180446
JiangSuZhongNan,961,2020_Half_Year,278348.3272,233382.9156,169055.8243,288935.8834,322903.0753,3167.26945,569.82259,10916.63254,409.23,29692.9782,700.59668,2369.84417,876,2034.2216,1365,,-0.0176,,,,,1.192667966,0.46829693,0.894806849,5.558343073,0.004144174,2.719975972,0.976405308,0.079811602,0.002712888,0.85837779
JiangSuZhongNan,961,2020_First_Quarter,261756.9847,218699.8689,161452.4914,270710.3944,302503.3967,1018.26864,279,10836.34622,409.23,11585.04718,265.06019,743.75288,1435,315.59261,1746,,-0.0157,,,,,1.196877648,0.458639933,0.894900346,3.649708389,0.001641723,1.069091643,0.977120491,0.064199383,0.004743748,0.424324556
DianZiCheng,SH600658,2023_Third_Quarter,11782.8161,5238.97116,8148.49567,11762.82641,19699.46163,59.36541,227.12374,1384.5933,1565.56,316.59041,74.82076,31.98506,-57.38,-687.20424,50.1,,0.0042,,,,,2.249070618,0.693708807,0.597114105,0.261379167,0.009182156,0.228652273,0.763666998,0.101029781,-0.00291277,-21.48516379
DianZiCheng,SH600658,2023_Half_Year,13335.91598,6782.08967,7945.06436,13238.5028,21274.19584,182.62509,153.96415,1385.77871,1550.66,2240.60278,61.33612,131.04287,8.2,-780.57664,27.86,,0.0163,,,,,1.966343212,0.794865873,0.622279822,1.186153365,0.007720028,1.616854669,0.972625171,0.058485544,0.000385443,-5.956650838
DianZiCheng,SH600658,2023_First_Quarter,11944.13188,7059.38737,7928.90248,11260.25735,19339.86297,231.69392,75.59765,1371.88502,1650.87,1854.25121,46.69666,-24.98852,310.77,-669.79821,18.21,,0.0216,,,,,1.6919502,0.568778731,0.582230462,3.064829662,0.005889422,1.351608324,0.974816435,-0.01347634,0.016068883,26.80423779
DianZiCheng,SH600658,2022_Year,13727.03585,10499.8345,8805.21877,13216.09741,21086.83456,709.86605,255.85283,1379.20046,1972.02,5149.67447,138.64554,598.00811,961.93,-713.34297,131.04,,0.0762,,,,,1.307357354,0.468751872,0.626746389,2.774509253,0.015745838,3.733811438,0.973076833,0.11612542,0.045617563,-1.192865033
DianZiCheng,SH600658,2022_Third_Quarter,14769.03508,10237.48413,10923.96323,12998.15844,20270.56542,127.51641,197.04511,244.33582,1440.63,2138.32149,60.77613,54.30911,-33.21,-922.31689,54.84,,0.0075,,,,,1.442643026,0.375587576,0.641233146,0.647143259,0.005563561,8.751567782,0.971577646,0.025398012,-0.001638336,-16.9827275
DianZiCheng,SH600658,2022_Half_Year,16080.50591,9849.03561,10205.5032,14314.85329,21705.6736,218.71183,133.64092,236.1216,1458.31,1875.23293,49.16103,163.17753,378.89,-179.24118,37.18,,0.0219,,,,,1.632698525,0.596505378,0.659498229,1.636563378,0.00481711,7.941810096,0.973784041,0.087017207,0.017455805,-1.098442756
DianZiCheng,SH600658,2022_First_Quarter,15742.76605,10660.96028,10709.6455,14231.96895,21392.2952,-111.82511,48.42569,249.78275,1316.79,283.76629,8.09717,-83.9843,-47.84,-435.25242,11.56,,-0.0115,,,,,1.476674298,0.472107616,0.665284805,-2.309210334,0.000756063,1.136052362,0.971465361,-0.295962927,-0.002236319,5.182545027
DianZiCheng,SH600658,2021_Year,15875.14756,9711.45475,10443.32854,14227.36091,21476.62146,110.14589,316.36899,240.11364,1316.79,1964.52977,71.88917,77.23716,301.58,2479.66214,218.91,,0.0643,,,,,1.634682751,0.559320839,0.662458056,0.348156418,0.006883741,8.181666782,0.963406422,0.039315853,0.014042246,32.1045214
DianZiCheng,SH600658,2021_Third_Quarter,14229.14482,7282.2928,10069.23692,12885.17657,19747.61145,-336.46729,173.86894,137.86459,1316.79,774.47476,28.63663,-248.47903,-39.75,580.27682,2.63,,0.0116,,,,,1.953937479,0.571236014,0.652492916,-1.935177666,0.002843972,5.617648171,0.963024456,-0.320835541,-0.002012902,-2.335315088
DianZiCheng,SH600658,2021_Half_Year,13072.6977,5246.54318,9717.66188,11421.64714,18492.36535,-228.50014,119.92726,142.87417,1316.79,524.11632,18.60793,-207.39506,-19.09,-384.33575,45.32,,0.0153,,,,,2.491678282,0.639475498,0.617641222,-1.905322743,0.001914857,3.66837692,0.964496567,-0.395704257,-0.001032318,1.853157711
DianZiCheng,SH600658,2021_First_Quarter,13640.90672,5782.02846,9385.72708,12038.35708,19199.93892,-133.92834,60.9088,138.22432,1316.79,248.74208,9.99594,-108.33787,-75,-592.7724,24,,0.0067,,,,,2.359190517,0.735931978,0.626999759,-2.198834175,0.001065015,1.799553608,0.959814033,-0.435543003,-0.003906262,5.471515972
DianZiCheng,SH600658,2020_Year,13986.78911,6244.9163,8925.43221,10544.74441,17810.21962,736.32548,233.96898,513.95983,1316.79,3770.45273,69.67892,545.69143,856.38,1024.65088,97.19,,0.0732,,,,,2.239708018,0.810476338,0.592061448,3.147107312,0.007806784,7.336084541,0.981519747,0.144728357,0.048083629,1.877711152
DianZiCheng,SH600658,2020_Third_Quarter,13618.72173,5460.75825,8750.53457,10006.56363,17113.93945,400.18618,193.42092,52.62743,1316.79,2355.83947,26.62186,419.3557,240,134.44328,19,,0.0092,,,,,2.493925039,0.891485566,0.584702526,2.068991154,0.003042312,44.76447517,0.98869963,0.17800691,0.014023656,0.320594844
DianZiCheng,SH600658,2020_Half_Year,13218.22863,6646.84656,8463.85938,9356.63738,16418.55981,252.60989,125.51291,138.63744,1316.79,1279.58446,19.07178,226.76192,115,-333.0609,16,,0.0228,,,,,1.988646572,0.715281932,0.569881737,2.012620686,0.002253319,9.229717568,0.985095335,0.17721528,0.007004268,-1.468769125
DianZiCheng,SH600658,2020_First_Quarter,11853.00166,3275.87487,8308.67467,7935.50158,14930.30203,160.41594,61.18585,601.21632,1316.79,775.07168,5.23145,158.21368,239,-346.10824,23,,-0.0103,,,,,3.618270579,1.081948221,0.531503085,2.621781631,0.000629637,1.289172722,0.993250372,0.2041278,0.016007714,-2.187599997
JingTouFaZhan,SH600683,2023_Third_Quarter,40981.65979,13915.52994,36317.97708,40277.26803,51047.78105,266.49867,194.43903,483.80993,3124.99,10141.92083,136.1495,181.13606,-60.6,-4993.21493,0.35,,0.0183,,,,,2.945030477,0.3351423,0.789011142,1.370602746,0.003748818,20.96261393,0.986575571,0.017860133,-0.001187123,-27.56610172
JingTouFaZhan,SH600683,2023_Half_Year,35787.79698,10019.67062,30794.34856,35681.31253,46652.30128,391.51722,126.4352,508.16277,3157.79,9866.20702,114.37115,306.76807,107.58,-1631.07152,0.21,,0.0288,,,,,3.571753838,0.498364528,0.764834993,3.096584099,0.003714031,19.41544632,0.988407789,0.031092807,0.002305996,-5.316953289
JingTouFaZhan,SH600683,2023_First_Quarter,40958.74318,16236.63458,36920.7534,41077.11627,52021.51662,261.99474,67.33694,519.26306,3234.54,3188.19667,57.26159,198.80466,168.79,-1899.22638,0.12,,0.0183,,,,,2.522612859,0.248696228,0.789617815,3.890802875,0.001550932,6.139848841,0.982039506,0.06235646,0.003244619,-9.553228793
JingTouFaZhan,SH600683,2022_Year,43676.38307,19334.20825,37461.16612,43937.92055,54813.07489,335.90599,254.96249,513.30833,3424.6,5552.37811,160.67816,177.28553,248.65,-8353.84342,3.08,,0.0169,,,,,2.259021031,0.321462191,0.801595616,1.317472184,0.004289193,10.8168478,0.971061379,0.031929657,0.004536326,-47.12084209
JingTouFaZhan,SH600683,2022_Third_Quarter,42416.0911,20866.85186,38443.72959,42329.31966,53283.72996,328.32608,200.08405,32.6015,3182.46,2403.35106,92.41367,227.64135,142.64,-7934.92995,3.61,,0.0213,,,,,2.032701981,0.190367073,0.794413598,1.640940802,0.002403869,73.71902859,0.961547993,0.094718309,0.00267699,-34.85715567
